Number receved,Location
0,"Epping, NH"
1,"Kauai, HI"
2,"San Francisco, CA"
4,"Honolulu, Hi"
5,"Turnbridge, Vt"
6,Hartford
7,"Phoenix, AZ"
3,"North Pole, Alaska"
8,"Phoenix, AZ"
9,"Webster, MA"
12,Florda
10,"Pike's Peak, Colorado"
16,"Kansas City, KS"
23,"Wilton, ME"
11,Rhode Island
17,"36.239694, -113.034586"
26,"Frogmore, SC"
33 ,Carnegie Mellon University
13,Iceland
14,"wichita, Kansas"
15,"Wichita, KS"
18,rocky mountain national park
19,Wyoming
20,NYC
27 ,"Misquamicut, RI"
34,"St Paul, Minnesota"
21,Vermont
28,"Blue Lakes, Colorado"
35,Mt. Rainier
22,"Epping, NH"
29,Olympic National Park
36,"3400 Gulf Boulevard, St peterburg, Flordia"
24,Swans Island Maine
31,Colorado
25,"Union, Maine"
32,Mt. Katahdin
30,"Cape Cod Beach, Eastham Cape Cod, Massachusetts"
